iter	Passed	Remaining
0	141	140935
1	142	71137
2	143	47693
3	144	35975
4	146	29164
5	147	24515
6	149	21138
7	150	18713
8	152	16777
9	154	15285
10	156	14071
11	157	12973
12	159	12090
13	161	11340
14	162	10660
15	164	10087
16	165	9572
17	167	9117
18	168	8685
19	169	8309
20	171	7975
21	172	7655
22	173	7385
23	176	7166
24	177	6908
25	178	6676
26	180	6489
27	181	6294
28	183	6128
29	183	5947
30	184	5775
31	186	5644
32	187	5492
33	189	5369
34	190	5243
35	191	5122
36	192	5010
37	193	4900
38	194	4801
39	195	4701
40	197	4609
41	198	4522
42	199	4437
43	200	4353
44	201	4279
45	202	4204
46	204	4136
47	205	4071
48	206	4003
49	207	3943
50	208	3886
51	210	3828
52	211	3773
53	212	3719
54	213	3667
55	214	3615
56	215	3561
57	216	3510
58	216	3460
59	217	3414
60	218	3368
61	219	3327
62	220	3284
63	222	3247
64	224	3225
65	225	3184
66	226	3148
67	227	3116
68	228	3083
69	229	3050
70	230	3019
71	232	2991
72	233	2960
73	234	2932
74	235	2901
75	236	2872
76	237	2842
77	238	2814
78	238	2784
79	239	2757
80	240	2729
81	241	2702
82	241	2671
83	242	2648
84	244	2626
85	244	2602
86	245	2580
87	246	2558
88	248	2539
89	249	2518
90	250	2499
91	251	2478
92	251	2456
93	252	2435
94	253	2416
95	254	2396
96	255	2378
97	256	2360
98	257	2343
99	258	2326
100	259	2312
101	260	2294
102	261	2278
103	262	2260
104	263	2243
105	263	2226
106	264	2210
107	266	2198
108	267	2182
109	267	2167
110	268	2152
111	269	2138
112	270	2124
113	271	2110
114	272	2096
115	273	2087
116	274	2073
117	275	2059
118	276	2046
119	277	2033
120	278	2020
121	278	2006
122	279	1992
123	280	1981
124	281	1969
125	282	1957
126	282	1944
127	283	1933
128	284	1921
129	285	1909
130	286	1899
131	287	1888
132	288	1877
133	288	1867
134	289	1857
135	290	1847
136	291	1837
137	292	1827
138	293	1817
139	294	1808
140	295	1798
141	295	1787
142	296	1778
143	297	1768
144	298	1759
145	299	1750
146	300	1741
147	301	1733
148	301	1724
149	302	1716
150	303	1706
151	304	1698
152	305	1689
153	306	1681
154	306	1672
155	307	1664
156	308	1656
157	309	1648
158	310	1641
159	311	1633
160	311	1624
161	312	1617
162	313	1609
163	314	1604
164	315	1597
165	316	1590
166	317	1583
167	318	1577
168	319	1569
169	320	1563
170	321	1557
171	322	1550
172	323	1544
173	324	1539
174	325	1533
175	326	1527
176	326	1520
177	327	1513
178	328	1506
179	329	1499
180	329	1492
181	330	1486
182	331	1479
183	332	1473
184	333	1467
185	333	1461
186	334	1454
187	335	1449
188	336	1443
189	337	1437
190	338	1432
191	338	1426
192	339	1420
193	340	1413
194	341	1408
195	341	1402
196	342	1396
197	343	1390
198	344	1384
199	344	1379
200	345	1374
201	346	1368
202	347	1362
203	347	1356
204	348	1351
205	349	1346
206	350	1341
207	350	1335
208	351	1330
209	352	1325
210	353	1320
211	353	1315
212	354	1310
213	355	1304
214	356	1300
215	356	1295
216	357	1289
217	358	1284
218	358	1279
219	359	1274
220	360	1269
221	360	1264
222	361	1260
223	362	1255
224	363	1250
225	363	1245
226	364	1241
227	365	1236
228	365	1231
229	366	1227
230	367	1222
231	367	1218
232	368	1214
233	369	1210
234	370	1205
235	371	1201
236	371	1197
237	372	1192
238	373	1188
239	373	1184
240	374	1179
241	375	1175
242	376	1171
243	376	1167
244	377	1163
245	378	1159
246	378	1154
247	379	1150
248	380	1146
249	380	1142
250	381	1138
251	382	1134
252	383	1131
253	383	1127
254	384	1123
255	385	1119
256	385	1115
257	386	1112
258	387	1108
259	388	1104
260	388	1101
261	389	1097
262	390	1093
263	391	1090
264	391	1086
265	392	1082
266	393	1079
267	393	1075
268	394	1072
269	395	1068
270	395	1065
271	396	1061
272	397	1058
273	398	1055
274	398	1051
275	399	1048
276	400	1044
277	401	1041
278	401	1038
279	402	1034
280	403	1031
281	403	1028
282	404	1025
283	405	1021
284	406	1018
285	406	1015
286	407	1012
287	408	1009
288	408	1006
289	409	1003
290	410	999
291	411	996
292	411	994
293	412	991
294	413	988
295	414	985
296	415	982
297	415	979
298	416	976
299	417	973
300	417	970
301	418	967
302	419	964
303	419	961
304	420	958
305	421	955
306	422	952
307	422	950
308	423	947
309	424	944
310	425	941
311	425	939
312	426	936
313	427	933
314	428	930
315	428	928
316	429	925
317	430	923
318	431	920
319	431	917
320	432	915
321	433	912
322	434	909
323	434	907
324	435	904
325	436	902
326	437	899
327	437	896
328	438	894
329	439	891
330	440	889
331	440	887
332	441	884
333	442	882
334	443	879
335	443	876
336	444	874
337	445	871
338	445	869
339	446	866
340	447	864
341	448	862
342	449	860
343	449	857
344	450	855
345	451	853
346	452	851
347	453	849
348	454	847
349	455	845
350	455	842
351	456	840
352	457	838
353	458	835
354	458	833
355	459	831
356	460	829
357	461	826
358	461	824
359	462	822
360	463	820
361	464	817
362	464	815
363	465	813
364	466	811
365	466	808
366	467	806
367	468	804
368	469	802
369	470	800
370	471	798
371	471	796
372	472	794
373	473	792
374	474	790
375	474	788
376	475	785
377	476	783
378	476	781
379	477	779
380	478	777
381	479	775
382	479	772
383	480	770
384	481	768
385	482	767
386	483	765
387	483	763
388	484	761
389	485	758
390	486	757
391	487	755
392	487	753
393	488	751
394	489	749
395	490	747
396	490	745
397	491	743
