iter	Passed	Remaining
0	1	1266
1	2	1152
2	3	1047
3	3	975
4	4	956
5	5	939
6	6	913
7	7	893
8	8	881
9	8	863
10	9	848
11	10	842
12	10	828
13	11	825
14	12	819
15	13	815
16	14	811
17	14	805
18	15	804
19	16	806
20	17	807
21	18	806
22	18	803
23	19	801
24	20	797
25	21	797
26	22	793
27	22	792
28	23	788
29	24	786
30	25	784
31	25	783
32	26	780
33	27	778
34	28	776
35	28	775
36	30	795
37	31	793
38	32	792
39	32	789
40	33	788
41	34	788
42	35	791
43	36	789
44	37	787
45	37	786
46	38	785
47	39	784
48	40	785
49	41	785
50	42	784
51	42	782
52	43	784
53	44	785
54	45	785
55	46	788
56	47	790
57	48	789
58	49	788
59	50	787
60	51	788
61	52	790
62	53	791
63	54	791
64	55	791
65	55	790
66	56	788
67	57	787
68	58	785
69	59	783
70	59	782
71	60	781
72	61	782
73	62	781
74	63	780
75	64	778
76	64	777
77	65	777
78	66	778
79	67	777
80	68	777
81	69	775
82	69	769
83	70	767
84	71	765
85	71	764
86	72	762
87	73	760
88	74	759
89	74	757
90	75	755
91	76	754
92	77	755
93	78	755
94	79	754
95	79	752
96	80	753
97	81	752
98	82	751
99	83	749
100	84	748
101	84	747
102	85	746
103	86	744
104	87	742
105	87	741
106	88	739
107	89	738
108	90	737
109	91	737
110	92	738
111	92	737
112	93	735
113	94	733
114	95	732
115	96	732
116	96	729
117	97	728
118	98	727
119	98	725
120	99	724
121	100	721
122	100	719
123	101	718
124	102	717
125	103	717
126	104	714
127	104	713
128	105	712
129	106	711
130	107	711
131	108	710
132	108	709
133	109	708
134	110	706
135	111	706
136	111	704
137	112	703
138	113	702
139	114	701
140	114	700
141	115	697
142	116	696
143	116	695
144	117	694
145	118	693
146	119	691
147	120	690
148	120	689
149	121	688
150	122	687
151	123	687
152	123	686
153	124	684
154	125	683
155	126	682
156	126	681
157	127	680
158	128	679
159	129	678
160	129	676
161	130	674
162	131	673
163	131	672
164	132	671
165	133	670
166	134	668
167	134	667
168	135	666
169	136	665
170	137	664
171	137	663
172	138	662
173	139	662
174	140	660
175	140	659
176	141	658
177	142	658
178	143	657
179	144	656
180	144	655
181	145	655
182	146	654
183	147	653
184	147	651
185	148	650
186	149	649
187	150	648
188	150	647
189	151	646
190	152	645
191	153	645
192	154	645
193	155	644
194	155	643
195	156	642
196	157	641
197	158	640
198	158	639
199	159	638
200	160	637
201	161	636
202	161	635
203	162	634
204	163	633
205	164	632
206	164	631
207	165	630
208	166	629
209	167	629
210	168	628
211	168	627
212	169	627
213	170	626
214	171	625
215	171	624
216	172	623
217	173	622
218	174	621
219	175	620
220	175	619
221	176	618
222	177	617
223	178	616
224	178	615
225	179	614
226	180	613
227	180	612
228	181	611
229	182	610
230	186	619
231	186	618
232	187	618
233	188	617
234	189	616
235	190	615
236	190	614
237	191	613
238	192	612
239	193	611
240	193	610
241	194	609
242	195	607
243	195	606
244	196	605
245	197	604
246	198	603
247	198	603
248	199	603
249	200	602
250	201	601
251	202	600
252	203	599
253	203	598
254	204	597
255	205	596
256	206	595
257	206	594
258	207	593
259	208	592
260	209	591
261	209	591
262	210	590
263	211	589
264	212	589
265	213	587
266	213	587
267	214	586
268	215	585
269	216	585
270	217	584
271	218	583
272	218	582
273	219	581
274	220	581
275	221	580
276	222	579
277	222	579
278	223	578
279	224	577
280	225	576
281	225	574
282	226	573
283	227	572
284	227	571
285	228	570
286	229	569
287	230	569
288	231	568
289	231	567
290	232	567
291	233	566
292	234	565
293	235	564
294	236	564
295	236	563
296	237	562
297	238	561
298	239	560
299	239	559
300	240	558
301	241	558
302	242	557
303	242	556
304	243	555
305	244	554
306	245	553
307	245	552
308	246	551
309	247	551
310	248	550
311	249	549
312	249	548
313	250	547
314	251	546
315	251	545
316	252	544
317	253	543
318	254	542
319	254	541
320	255	540
321	256	539
322	256	538
323	257	537
324	258	537
325	259	536
326	260	536
327	261	535
328	262	534
329	262	533
330	263	532
331	264	531
332	265	530
333	265	529
334	266	528
335	267	528
336	267	527
337	268	525
338	269	525
339	269	524
340	270	523
341	271	522
342	272	521
343	273	521
344	274	520
345	274	519
346	275	518
347	276	518
348	277	517
349	277	516
350	278	515
351	279	514
352	279	513
353	280	512
354	281	511
355	282	510
356	282	509
357	283	508
358	284	507
359	285	507
360	286	506
361	286	505
362	287	504
363	288	504
364	289	503
365	290	503
366	291	503
367	292	502
368	293	501
369	294	500
370	294	500
371	295	499
372	296	498
373	297	497
374	298	496
375	298	496
376	299	495
377	300	494
378	301	493
379	302	492
380	302	491
381	303	490
382	304	490
383	305	489
384	305	488
385	306	487
386	307	486
387	308	486
388	308	485
389	309	484
390	310	483
391	311	483
392	312	482
393	313	481
394	313	480
395	314	479
396	315	479
397	316	478
398	317	478
399	318	477
400	319	476
401	320	476
402	321	476
403	322	475
404	323	475
405	324	474
406	325	474
407	326	473
408	326	472
409	327	471
410	328	470
411	329	469
412	330	469
413	331	468
414	331	467
415	332	467
416	333	466
417	334	465
418	335	464
419	337	466
420	338	465
421	339	465
422	340	464
423	341	463
424	342	462
425	343	462
426	343	461
427	344	461
428	345	460
429	346	459
430	347	458
431	348	457
432	349	457
433	349	456
434	350	455
435	351	454
436	352	453
437	353	453
438	353	452
439	354	451
440	355	450
441	355	449
442	356	448
443	357	447
444	358	446
445	359	446
446	359	445
447	360	444
448	361	443
449	361	442
450	362	441
451	363	440
452	364	440
453	365	439
454	365	438
455	366	437
456	367	436
457	368	436
458	369	435
459	370	434
460	370	433
461	371	432
462	372	432
463	373	431
464	374	430
465	374	429
466	375	428
467	376	427
468	377	426
469	377	425
470	378	425
471	379	424
472	379	423
473	380	422
474	381	421
475	382	420
476	383	419
477	383	419
478	384	418
479	385	417
480	385	416
481	386	415
482	387	414
483	388	413
484	389	413
485	389	412
486	390	411
487	391	410
488	392	409
489	392	408
490	393	407
491	394	407
